Buyer Name,Type,Industry,Count,Tot Value,Average Size,Minimum Size,Maximum Size,Average Premium,Minimum Premium,Maximum Premium
Management Group Investor LLC,Strategic,Asset Management,1,49.2978,49.2978,49.2978,49.2978,,0,0
A&E Investment LLC,Strategic,Asset Management,1,350,350,350,350,,0,0
Kingsley Ventures Co Ltd,Strategic,Commercial Support Services,1,,,,,,0,0
Florida Opportunity Fund Inc,Strategic,Commercial Support Services,1,2.5,2.5,2.5,2.5,,0,0
Toko Co Ltd,Strategic,Retail - Discretionary,1,0.100326,0.100326,0.100326,0.100326,,0,0
Plutos Sama Holdings Inc,Strategic,Commercial Support Services,1,15,15,15,15,,0,0
MM Mobile LLC,Strategic,Telecommunications,1,,,,,,0,0
Equanimity Ventures LLP,Strategic,Asset Management,1,2.7,2.7,2.7,2.7,,0,0
Patamar Capital LLC,Strategic,Asset Management,1,80,80,80,80,,0,0
PlantPlus Foods LLC,Strategic,Food,1,,,,,,0,0
Charoen Pokphand Foods PCL,Strategic,Food,1,,,,,,0,0
Citizen.vc LLC,Strategic,Asset Management,1,8.1536,8.1536,8.1536,8.1536,,0,0
Calverton Group Ltd,Strategic,Asset Management,1,,,,,,0,0
Shenzhen Huiyuan Investment Co Ltd,Strategic,Asset Management,1,37.4975,37.4975,37.4975,37.4975,,0,0
Tianjin Pavillon Assets Management Co Ltd,Strategic,Asset Management,1,14.1597,14.1597,14.1597,14.1597,,0,0
Maybank Private Equity Sdn Bhd,Strategic,Asset Management,1,25,25,25,25,,0,0
Stageone Enter Co Ltd,Strategic,Commercial Support Services,1,3.11535,3.11535,3.11535,3.11535,,0,0
Jung Oh F&B Co Ltd,Strategic,Wholesale - Consumer Staples,1,25.8757,25.8757,25.8757,25.8757,,0,0
FS Shake Co Ltd,Strategic,Leisure Facilities & Services,1,3.3355,3.3355,3.3355,3.3355,,0,0
Iwatani Corp,Strategic,Gas & Water Utilities,1,14.5166,14.5166,14.5166,14.5166,,0,0
Xi'an Qinling Medicinal Materials Co Ltd,Strategic,Biotech & Pharma,1,,,,,,0,0
Future Venture Capital Co Ltd,Strategic,Asset Management,1,,,,,,0,0
BD's Mongolian Grill,Strategic,Leisure Facilities & Services,1,,,,,,0,0
PALTAC Corp,Strategic,Wholesale - Consumer Staples,1,27.738,27.738,27.738,27.738,,0,0
Rabo Equity Advisors Pvt Ltd,Strategic,Asset Management,1,,,,,,0,0
Lactalis-Halawa Group,Strategic,Food,1,,,,,,0,0
Garbe Group,Strategic,Leisure Facilities & Services,1,18.718,18.718,18.718,18.718,,0,0
CJ Corp,Strategic,Transportation & Logistics,1,48.6174,48.6174,48.6174,48.6174,,0,0
Essential Pizza Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Banzplus KK,Strategic,Leisure Facilities & Services,1,,,,,,0,0
B Riley Venture Capital LLC,Strategic,Asset Management,1,100,100,100,100,,0,0
Corp Multi Inversiones,Strategic,Food,1,,,,,,0,0
Jiaxing Zhijun Shuidi Asset Management Co Ltd,Strategic,Asset Management,1,31.308,31.308,31.308,31.308,,0,0
Unimat Holding Co,Strategic,Commercial Support Services,1,1.73938,1.73938,1.73938,1.73938,,0,0
Dufengxuan Gushen Biological Technology Co Ltd,Strategic,Food,1,1.38E-07,1.38E-07,1.38E-07,1.38E-07,,0,0
Yellowdog Corp,Strategic,Asset Management,1,3.3588,3.3588,3.3588,3.3588,,0,0
Aligned Partners,Strategic,Asset Management,1,7,7,7,7,,0,0
Goldman Sachs Private Equity Group,Strategic,Asset Management,1,32.166,32.166,32.166,32.166,,0,0
Nordstjernan AB,Strategic,Asset Management,1,,,,,,0,0
China Resources National Corp,Strategic,Specialty Finance,1,41.9667,41.9667,41.9667,41.9667,,0,0
Majestic-12 Ltd,Strategic,Commercial Support Services,1,,,,,,0,0
RL Purchaser LLC,Strategic,Asset Management,1,,,,,,0,0
Southern Star Ltd/Hong Kong,Strategic,Asset Management,1,,,,,,0,0
C-United KK,Strategic,Leisure Facilities & Services,1,,,,,,0,0
China Soft Capital Co Ltd,Strategic,Asset Management,1,,,,,,0,0
Pomme de Pain,Strategic,Leisure Facilities & Services,1,,,,,,0,0
St Cloud Capital LLC,Strategic,Asset Management,1,236,236,236,236,,0,0
Centre Lane Partners LLC,Strategic,Asset Management,1,12,12,12,12,,0,0
Manna Development Group LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Town and Field Ltd,Strategic,Leisure Facilities & Services,1,1.09228,1.09228,1.09228,1.09228,,0,0
Sforza Enterprises Inc,Strategic,Leisure Facilities & Services,1,3,3,3,3,,0,0
MaC Venture Capital Management LLC,Strategic,Asset Management,1,7.56,7.56,7.56,7.56,,0,0
Grasshoppers/The,Strategic,Leisure Facilities & Services,1,,,,,,0,0
C & Merchant Marine Co Ltd,Strategic,Transportation & Logistics,1,7.28667,7.28667,7.28667,7.28667,,0,0
Kelcord International Inc,Strategic,Leisure Facilities & Services,1,319,319,319,319,,0,0
Baotou Huafeng Investment Management Center,Strategic,Asset Management,1,37.4975,37.4975,37.4975,37.4975,,0,0
Bilanx Investment Co Ltd,Strategic,Asset Management,1,1.4942,1.4942,1.4942,1.4942,,0,0
Smart Lane Global Ltd,Strategic,Specialty Finance,1,35.5503,35.5503,35.5503,35.5503,,0,0
Proprium Capital Partners LP,Strategic,Asset Management,1,,,,,,0,0
Fondations Capital Services France SASU,Strategic,Asset Management,1,324.209,324.209,324.209,324.209,,0,0
Toyokogeisya KK,Strategic,Commercial Support Services,1,,,,,,0,0
Shea Properties Ltd,Strategic,Real Estate Owners & Developers,1,1.5793,1.5793,1.5793,1.5793,,0,0
Barunson Co Ltd,Strategic,E-Commerce Discretionary,1,8.06053,8.06053,8.06053,8.06053,,0,0
Food Innovators Holdings Ltd,Strategic,Leisure Facilities & Services,1,0.19627,0.19627,0.19627,0.19627,,0,0
Sansei Capital Investment Co Ltd,Strategic,Asset Management,1,2.576,2.576,2.576,2.576,,0,0
HumanCo LLC,Strategic,Food,1,100,100,100,100,,0,0
Chengdu Dequan Investmetn Center Co Ltd,Strategic,Asset Management,1,37.4975,37.4975,37.4975,37.4975,,0,0
Burger King United Kingdom Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Edenred Capital Partners Ltd,Strategic,Asset Management,1,35,35,35,35,,0,0
Benny & Brothers Inc,Strategic,Leisure Facilities & Services,1,0.22923,0.22923,0.22923,0.22923,,0,0
ChrysCapital Management Co,Strategic,Asset Management,1,,,,,,0,0
Hubei Zhiyuanqiao Technology Co Ltd,Strategic,IT Services,1,0.7789,0.7789,0.7789,0.7789,,0,0
Serena Ventures LLC,Strategic,Asset Management,1,20,20,20,20,,0,0
12456702 Canada Inc,Strategic,Asset Management,1,,,,,,0,0
Network Ventures LP,Strategic,Asset Management,1,22,22,22,22,,0,0
ITV PLC,Strategic,Entertainment Content,1,1.8378,1.8378,1.8378,1.8378,,0,0
New Hope Group Co Ltd,Strategic,Food,1,777.9,777.9,777.9,777.9,,0,0
Pacific Investment Management Co LLC,Strategic,Asset Management,1,,,,,,0,0
Pacific Equity Partners Pty Ltd,Strategic,Asset Management,1,200.277,200.277,200.277,200.277,46.76,0,0
China Huajun Group Ltd,Strategic,Oil & Gas Supply Chain,1,,,,,,0,0
Goddard Catering Group Inc,Strategic,Commercial Support Services,1,40,40,40,40,,0,0
SA Hospitality Group LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Canberra Raiders Sports Club Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Global Tech Industries Group Inc,Strategic,Oil & Gas Supply Chain,1,,,,,,0,0
Sae Ki RTN Co Ltd,Strategic,Retail - Discretionary,1,2.50964,2.50964,2.50964,2.50964,,0,0
Uokuni Sohonsha Co Ltd,Strategic,Commercial Support Services,1,,,,,,0,0
Sculptor Capital LP,Strategic,Asset Management,1,,,,,,0,0
Prosperity Alliance Investments Ltd,Strategic,Asset Management,1,15,15,15,15,,0,0
DO & CO AG,Strategic,Commercial Support Services,1,,,,,,0,0
Rizvi Traverse Management LLC,Strategic,Asset Management,1,200,200,200,200,,0,0
Spackman Entertainment Group Ltd,Strategic,Entertainment Content,1,0.102228,0.102228,0.102228,0.102228,,0,0
Sun Pacific Holding Corp,Strategic,Renewable Energy,1,4.2793,4.2793,4.2793,4.2793,,0,0
Hangzhou Zhouxuan Equity Investment Management LP,Strategic,Asset Management,1,,,,,,0,0
Imperial Logistics Ltd,Strategic,Transportation & Logistics,1,26.676,26.676,26.676,26.676,,0,0
Kita Yono Estate KK,Strategic,Real Estate Services,1,,,,,,0,0
Etib Holding II AB,Strategic,Asset Management,1,54.9941,54.9941,54.9941,54.9941,,0,0
Barokah Melayu Foods Pte Ltd,Strategic,Commercial Support Services,1,33.4091,33.4091,33.4091,33.4091,,0,0
SafeScript Pharmacies Inc,Strategic,Health Care Facilities & Svcs,1,,,,,,0,0
Manila Angel Investors Network,Strategic,Asset Management,1,,,,,,0,0
Tavern Propco Ltd,Strategic,Real Estate Owners & Developers,1,447.528,447.528,447.528,447.528,,0,0
Adelie Foods Group Ltd,Strategic,Leisure Facilities & Services,1,10,10,10,10,,0,0
Queso Holdings Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Eezy Oyj,Strategic,Commercial Support Services,1,91.9958,91.9958,91.9958,91.9958,,0,0
Yoma Strategic Holdings Ltd,Strategic,Real Estate Owners & Developers,1,12.61,12.61,12.61,12.61,,0,0
A Soriano Corp,Strategic,Electrical Equipment,1,27.4032,27.4032,27.4032,27.4032,,0,0
J E Share KK,Strategic,Advertising & Marketing,1,0.00567879,0.00567879,0.00567879,0.00567879,,0,0
Conviviality PLC,Strategic,Retail - Consumer Staples,1,312.98,312.98,312.98,312.98,,0,0
Yamano Holdings Corp,Strategic,Retail - Discretionary,1,,,,,,0,0
LA Boucherie Kosher Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Speedy Champion Investments Ltd,Strategic,Asset Management,1,,,,,,0,0
Farm to Fork Sdn Bhd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
WF World Fund Management GmbH,Strategic,Asset Management,1,50,50,50,50,,0,0
Chokushin KK,Strategic,Leisure Facilities & Services,1,3.46741,3.46741,3.46741,3.46741,,0,0
Japan Foods Holding Ltd,Strategic,Leisure Facilities & Services,1,0.1104,0.1104,0.1104,0.1104,,0,0
Cavendish Bars Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Farragut Capital Partners LLC,Strategic,Asset Management,1,,,,,,0,0
Red Chamber Co,Strategic,Wholesale - Consumer Staples,1,8,8,8,8,,0,0
Abenex Capital SAS,Strategic,Asset Management,1,,,,,,0,0
Ceder Capital,Strategic,Asset Management,1,,,,,,0,0
Vandemoortele NV,Strategic,Food,1,,,,,,0,0
Praxair Peru SA,Strategic,Asset Management,1,527.299,527.299,527.299,527.299,,0,0
Volg Konsumwaren AG,Strategic,Food,1,,,,,,0,0
Go Beyond Investing AG,Strategic,Asset Management,1,47.3424,47.3424,47.3424,47.3424,,0,0
Boon Lay Ltd,Strategic,Industrial Intermediate Prod,1,1214.95,1214.95,1214.95,1214.95,,0,0
Ucommune International Ltd,Strategic,Real Estate Owners & Developers,1,,,,,,0,0
PPB Group Bhd,Strategic,Food,1,,,,,,0,0
Falconhead Capital LLC,Strategic,Asset Management,1,,,,,,0,0
Miami Subs Corp,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Grivalia Properties REIC AE,Strategic,REIT,1,34.5197,34.5197,34.5197,34.5197,,0,0
Weinan Hongjing Commerce Co Ltd,Strategic,Real Estate Owners & Developers,1,53.0023,53.0023,53.0023,53.0023,,0,0
Soul Restaurants Canada Inc,Strategic,Leisure Facilities & Services,1,43.9342,43.9342,43.9342,43.9342,,0,0
Builders Capital,Strategic,Specialty Finance,1,1.7,1.7,1.7,1.7,,0,0
Fiesta LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Backed LLP,Strategic,Asset Management,1,6.13867,6.13867,6.13867,6.13867,,0,0
SBG Restaurants Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Advertisement & Venture Capital,Strategic,Asset Management,1,14.541,14.541,14.541,14.541,,0,0
Keywise Capital Management HK Ltd,Strategic,Asset Management,1,777.9,777.9,777.9,777.9,,0,0
ALSOK Co Ltd,Strategic,Commercial Support Services,1,,,,,,0,0
Rome Bidco Ltd,Strategic,Leisure Facilities & Services,1,233.387,233.387,233.387,233.387,7.03,0,0
Paramount Corp Bhd,Strategic,Real Estate Owners & Developers,1,98.0604,98.0604,98.0604,98.0604,,0,0
Quintain Ltd,Strategic,Real Estate Owners & Developers,1,15.744,15.744,15.744,15.744,,0,0
Perpetual Capital LLC,Strategic,Asset Management,1,,,,,,0,0
Donato Food Corp,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Orca Restaurant System KK,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Tofu Restaurant Co Ltd,Strategic,Commercial Support Services,1,7.6201,7.6201,7.6201,7.6201,,0,0
RSJ Securities AS,Strategic,Institutional Financial Svcs,1,4.17,4.17,4.17,4.17,,0,0
Pedersen Group/The,Strategic,Leisure Facilities & Services,1,32.2591,32.2591,32.2591,32.2591,,0,0
Quinsam Capital Corp,Strategic,Institutional Financial Svcs,1,5.6959,5.6959,5.6959,5.6959,,0,0
HCP & Co,Strategic,Asset Management,1,,,,,,0,0
Nexxus Capital SC,Strategic,Asset Management,1,,,,,,0,0
Castanea Partners,Strategic,Asset Management,1,,,,,,0,0
Portugalia Administracao de Patrimonios SA,Strategic,Commercial Support Services,1,,,,,,0,0
iFLAG Co Ltd,Strategic,IT Services,1,,,,,,0,0
Zhuoer Capital,Strategic,Asset Management,1,,,,,,0,0
Fat Sparrow Group,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Cardenas Markets LLC,Strategic,Retail - Consumer Staples,1,,,,,,0,0
Lake Shore India Advisory Pvt Ltd,Strategic,Asset Management,1,,,,,,0,0
HitoMile Co Ltd,Strategic,Wholesale - Consumer Staples,1,4.99706,4.99706,4.99706,4.99706,,0,0
Fattal Hotels Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Mud WTR Inc,Strategic,Leisure Facilities & Services,1,7,7,7,7,,0,0
A Cento SpA,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Co del Tropico SL,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Yokohama Capital Co Ltd,Strategic,Asset Management,1,6.878,6.878,6.878,6.878,,0,0
LHM F&B Ltd,Strategic,Asset Management,1,0.058032,0.058032,0.058032,0.058032,,0,0
GDH Guangnan Holdings Ltd,Strategic,Containers & Packaging,1,,,,,,0,0
Mercapital Private Equity SGEIC SAU,Strategic,Institutional Financial Svcs,1,56.6076,56.6076,56.6076,56.6076,,0,0
Redpoint China Ventures,Strategic,Asset Management,1,,,,,,0,0
Zesheng Venture,Strategic,Asset Management,1,,,,,,0,0
Azoff Restaurant Group LLC/The,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Roos Holdings Ltd,Strategic,Consumer Services,1,,,,,,0,0
Xinjiang Ruiyu Tianhua Renewable Resources Recycling Co Ltd,Strategic,Commercial Support Services,1,4.59116,4.59116,4.59116,4.59116,,0,0
Laynes Chicken Fingers,Strategic,Commercial Support Services,1,,,,,,0,0
Clearstone Co Ltd,Strategic,Wholesale - Discretionary,1,,,,,,0,0
Tasty Chick'n LLC,Strategic,Food,1,,,,,,0,0
Barentz International BV,Strategic,Chemicals,1,,,,,,0,0
Souken Ace Co Ltd,Strategic,Engineering & Construction,1,5.13697,5.13697,5.13697,5.13697,,0,0
Alliance Development Group LLC,Strategic,Real Estate Services,1,,,,,,0,0
Ripple Foods PBC,Strategic,Food,1,17.5,17.5,17.5,17.5,,0,0
Tyson Foods Inc,Strategic,Food,1,,,,,,0,0
Salis Holdings,Strategic,Real Estate Owners & Developers,1,,,,,,0,0
Innogest SGR SpA,Strategic,Asset Management,1,2.471,2.471,2.471,2.471,,0,0
Franworks Group of Cos,Strategic,Commercial Support Services,1,22.75,22.75,22.75,22.75,,0,0
Sonic Sports Co Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
WarmUp Ventures LLP,Strategic,Asset Management,1,1.70996,1.70996,1.70996,1.70996,,0,0
Vestas Investment Management Co Ltd,Strategic,Asset Management,1,14.7248,14.7248,14.7248,14.7248,,0,0
Hiiragi Holdings KK,Strategic,Commercial Support Services,1,,,,,,0,0
Niraku GC Holdings Inc,Strategic,Leisure Facilities & Services,1,12.873,12.873,12.873,12.873,,0,0
Ansons Holding Ltd,Strategic,Commercial Support Services,1,,,,,,0,0
Asahikawa Eki Tachiuri KK,Strategic,Food,1,14.4115,14.4115,14.4115,14.4115,,0,0
Carlton Holding AG,Strategic,Asset Management,1,23.1008,23.1008,23.1008,23.1008,5.77,0,0
Yunnan Health & Cultural Tourism Holding Group Co Ltd,Strategic,Real Estate Owners & Developers,1,232.328,232.328,232.328,232.328,,0,0
Adams Street Partners LLC,Strategic,Asset Management,1,,,,,,0,0
First Data/Saudi Arabia,Strategic,Specialty Finance,1,350,350,350,350,,0,0
Chorion Ltd,Strategic,Commercial Support Services,1,3.82112,3.82112,3.82112,3.82112,,0,0
MXP Partners LLP,Strategic,Asset Management,1,133.736,133.736,133.736,133.736,,0,0
Australian Agricultural Co Ltd,Strategic,Food,1,4,4,4,4,,0,0
Cafes Baque SL,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Inflexion Private Equity Partners LLP,Strategic,Asset Management,1,20.2455,20.2455,20.2455,20.2455,,0,0
Walnut Capital Ltd,Strategic,Specialty Finance,1,0.3219,0.3219,0.3219,0.3219,,0,0
Genting Malaysia Bhd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Pilot Enterprises Ltd,Strategic,Institutional Financial Svcs,1,40,40,40,40,,0,0
Red Lion Holdings LLP,Strategic,Asset Management,1,,,,,,0,0
JW Childs Equity Partners LP,Strategic,Asset Management,1,,,,,,0,0
Nihon Reit Ltd,Strategic,Real Estate Services,1,0.1029,0.1029,0.1029,0.1029,,0,0
DKSH Holding AG,Strategic,Advertising & Marketing,1,,,,,,0,0
Outbox Systems Inc,Strategic,Commercial Support Services,1,,,,,,0,0
Chongqing Brewery Co Ltd,Strategic,Beverages,1,0.424173,0.424173,0.424173,0.424173,,0,0
Withers Group,Strategic,Specialty Finance,1,14.4113,14.4113,14.4113,14.4113,,0,0
Victoria PLC,Strategic,Home Construction,1,2.5977,2.5977,2.5977,2.5977,,0,0
YourNest Capital Advisors Pvt Ltd/India,Strategic,Asset Management,1,1.7,1.7,1.7,1.7,,0,0
IDG Ventures Inc,Strategic,Asset Management,1,23,23,23,23,,0,0
Macquarie Infrastructure & Real Assets Europe Ltd,Strategic,Asset Management,1,1200.06,1200.06,1200.06,1200.06,,0,0
SBB AG,Strategic,Transportation & Logistics,1,,,,,,0,0
Sizzling Platter LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Newport Digital Technologies Inc,Strategic,IT Services,1,,,,,,0,0
Mi Corp/Japan,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Lian Beng Group Ltd,Strategic,Engineering & Construction,1,88.7596,88.7596,88.7596,88.7596,,0,0
Brazos Private Equity Partners LLC,Strategic,Asset Management,1,,,,,,0,0
Larco Enterprises Inc,Strategic,Leisure Facilities & Services,1,150.246,150.246,150.246,150.246,,0,0
Tampines Ltd,Strategic,Leisure Facilities & Services,1,1214.95,1214.95,1214.95,1214.95,,0,0
Brentwood Investments Ltd,Strategic,Asset Management,1,11.175,11.175,11.175,11.175,,0,0
TouchBistro Inc,Strategic,Software,1,,,,,,0,0
Janes Acquisition Corp,Strategic,Unclassifiable,1,2.73981,2.73981,2.73981,2.73981,22.32,0,0
Daiwa Office Investment Corp,Strategic,REIT,1,22.6325,22.6325,22.6325,22.6325,,0,0
Kafeterija&Love&Brands Doo,Strategic,Leisure Facilities & Services,1,,,,,,0,0
New Classic Japan KK,Strategic,Real Estate Services,1,2.4988,2.4988,2.4988,2.4988,,0,0
Rosy Metro Investments Ltd,Strategic,Asset Management,1,22.4342,22.4342,22.4342,22.4342,,0,0
MIC Glen LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Cibus NV,Strategic,Food,1,4.23986,4.23986,4.23986,4.23986,,0,0
Tribune FN Cable Ventures LLC,Strategic,Asset Management,1,80,80,80,80,,0,0
Nventive Inc,Strategic,Software,1,,,,,,0,0
Sugarloaf Concessions LLC,Strategic,Wholesale - Discretionary,1,3.05,3.05,3.05,3.05,,0,0
GetVantage Tech Pvt Ltd,Strategic,Software,1,0.13462,0.13462,0.13462,0.13462,,0,0
Grand Mere Capital LLC,Strategic,Asset Management,1,,,,,,0,0
Malibu Entertainment Worldwide Inc,Strategic,Leisure Facilities & Services,1,126,126,126,126,,0,0
Anabuki Kosan Inc,Strategic,Home Construction,1,,,,,,0,0
Kinkoh Firm YK,Strategic,Asset Management,1,,,,,,0,0
Kout Food Group KSC,Strategic,Leisure Facilities & Services,1,22.9215,22.9215,22.9215,22.9215,,0,0
Justice Holdings Ltd,Strategic,Asset Management,1,1406.14,1406.14,1406.14,1406.14,,0,0
Pioneer Foods Group Ltd,Strategic,Food,1,0.406094,0.406094,0.406094,0.406094,,0,0
Nagatanien Holdings Co Ltd,Strategic,Food,1,2.00228,2.00228,2.00228,2.00228,,0,0
XP Factory PLC,Strategic,Leisure Facilities & Services,1,13.4951,13.4951,13.4951,13.4951,,0,0
Shimadaya Corp,Strategic,Food,1,5.48962,5.48962,5.48962,5.48962,,0,0
Armada Credit Partners Oy,Strategic,Asset Management,1,,,,,,0,0
Foxlow Restaurants Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Cineplex Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Ghida Alsultan for Fast Food Co,Strategic,Leisure Facilities & Services,1,6.34508,6.34508,6.34508,6.34508,,0,0
Procuritas Partners AB,Strategic,Asset Management,1,,,,,,0,0
Bank of America Capital Advisors LLC,Strategic,Asset Management,1,35,35,35,35,,0,0
Meszaros Group,Strategic,Specialty Finance,1,,,,,,0,0
Quilvest Capital Partners UK LTD,Strategic,Asset Management,1,102.342,102.342,102.342,102.342,,0,0
Pasta Romana Foods Inc,Strategic,Food,1,3.1311,3.1311,3.1311,3.1311,,0,0
Till Payments Global Pty Ltd,Strategic,Specialty Finance,1,,,,,,0,0
Glory Wish Holdings Ltd,Strategic,Specialty Finance,1,21.5083,21.5083,21.5083,21.5083,,0,0
Link Ventures LLLP,Strategic,Asset Management,1,35,35,35,35,,0,0
MOS Food Services Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Niksa Energy Associates LLC,Strategic,IT Services,1,400,400,400,400,,0,0
CEMA Inc,Strategic,Leisure Facilities & Services,1,4.11708,4.11708,4.11708,4.11708,,0,0
Hash3 LLC,Strategic,Asset Management,1,8,8,8,8,,0,0
Shinkin Capital KK,Strategic,Asset Management,1,17.1199,17.1199,17.1199,17.1199,,0,0
Golden Asia Fund Ventures Ltd,Strategic,Asset Management,1,17.1199,17.1199,17.1199,17.1199,,0,0
Incheon Creative Economy Innovation Center,Strategic,Asset Management,1,,,,,,0,0
Pekepan Investments SL,Strategic,Asset Management,1,,,,,,0,0
Trillion Benchmark Sdn Bhd,Strategic,Asset Management,1,2.30008,2.30008,2.30008,2.30008,,0,0
Beatrice Society Inc,Strategic,Food,1,,,,,,0,0
DNDN Corp,Strategic,Leisure Facilities & Services,1,0.59728,0.59728,0.59728,0.59728,,0,0
Trail Mix Ventures LLC,Strategic,Asset Management,1,11,11,11,11,,0,0
Boxcar Social Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Williston Holding Co Inc,Strategic,Engineering & Construction,1,2.77144,2.77144,2.77144,2.77144,138.36,0,0
Freeman Group LLC,Strategic,Asset Management,1,26,26,26,26,,0,0
Westward Dough,Strategic,Leisure Facilities & Services,1,10,10,10,10,,0,0
Exotic Food Ltd,Strategic,Leisure Facilities & Services,1,,,,,,0,0
NKB/New,Strategic,Asset Management,1,,,,,,0,0
Brass Corp,Strategic,Commercial Support Services,1,2.69041,2.69041,2.69041,2.69041,,0,0
IMM Investment Group Japan KK,Strategic,Asset Management,1,18.522,18.522,18.522,18.522,,0,0
Crystal Stream Beijing Investment Consulting Co Ltd,Strategic,Asset Management,1,,,,,,0,0
Newable Private Investing Ltd,Strategic,Asset Management,1,,,,,,0,0
Rockwall Holdings Inc,Strategic,Biotech & Pharma,1,,,,,,0,0
People's Restaurant Group Ltd/The,Strategic,Commercial Support Services,1,,,,,,0,0
White Star Capital LLC,Strategic,Asset Management,1,18,18,18,18,,0,0
Mainichi Comnet Co Ltd,Strategic,Real Estate Services,1,3.11318,3.11318,3.11318,3.11318,,0,0
Pierre Foods Inc,Strategic,Food,1,44.0814,44.0814,44.0814,44.0814,21.04,0,0
Prologis Inc,Strategic,REIT,1,18.522,18.522,18.522,18.522,,0,0
Lombardi Restaurant Group Inc,Strategic,Asset Management,1,4.77716,4.77716,4.77716,4.77716,23.7,0,0
Kurashi No Tomo Co Ltd,Strategic,Commercial Support Services,1,3.90908,3.90908,3.90908,3.90908,,0,0
Gourmet Culinary Partners LLC,Strategic,Food,1,,,,,,0,0
AmeriGas Partners LP,Strategic,Gas & Water Utilities,1,,,,,,0,0
TPO KK,Strategic,Leisure Facilities & Services,1,0.047812,0.047812,0.047812,0.047812,,0,0
AAS Catering KK,Strategic,Commercial Support Services,1,4.20E-05,4.20E-05,4.20E-05,4.20E-05,,0,0
Memphis Wings Operations LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Milagro Holdings Inc,Strategic,Specialty Finance,1,0.437675,0.437675,0.437675,0.437675,,0,0
Salter Brothers Emerging Cos Ltd,Strategic,Asset Management,1,,,,,,0,0
King Win Laurel International Ltd,Strategic,Asset Management,1,102.783,102.783,102.783,102.783,,0,0
Kopitiam Investment Pte Ltd,Strategic,Asset Management,1,2.27612,2.27612,2.27612,2.27612,,0,0
OCAT LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Fagan Capital Inc,Strategic,Asset Management,1,7.10448,7.10448,7.10448,7.10448,23.1,0,0
PJ United Inc,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Select Group Ltd,Strategic,Commercial Support Services,1,4.69712,4.69712,4.69712,4.69712,,0,0
Rubix Ventures Inc,Strategic,Asset Management,1,1.7075,1.7075,1.7075,1.7075,,0,0
Socially Financed LP,Strategic,Asset Management,1,15,15,15,15,,0,0
AIR Culinaire Worldwide LLC,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Nexta Co Ltd/Tokyo,Strategic,Asset Management,1,0.34447,0.34447,0.34447,0.34447,,0,0
Java Joe's International Corp,Strategic,Leisure Facilities & Services,1,0.115587,0.115587,0.115587,0.115587,,0,0
Shanghai Abao Brothers Investment Management Co Ltd,Strategic,Asset Management,1,,,,,,0,0
Hi Pokee Lancheteria S/A,Strategic,Leisure Facilities & Services,1,,,,,,0,0
Xinjiang Nongken Import and Export Group Co Ltd,Strategic,Wholesale - Discretionary,1,3.4618,3.4618,3.4618,3.4618,,0,0
Smith & Wollensky Restaurant Group Inc/The,Strategic,Leisure Facilities & Services,1,3.75,3.75,3.75,3.75,,0,0
AGS Consulting Co Ltd,Strategic,Advertising & Marketing,1,2.13121,2.13121,2.13121,2.13121,,0,0
AFFA Holdings,Strategic,Asset Management,1,,,,,,0,0
IVE Group Ltd,Strategic,Advertising & Marketing,1,,,,,,0,0
White Oak Capital Partners LP,Strategic,Asset Management,1,,,,,,0,0
Brand Group Ltd/The,Strategic,Leisure Facilities & Services,1,,,,,,0,0
